solve, select, insert, bubble, builtin, brute, 
0, 0, 0, 0, 0, 0.001001, 
0, 0, 0, 0, 0.001, 0, 
0.000999, 0.001, 0.000999, 0.000998, 0, 0, 
0.000999, 0.000987, 0.001, 0.000998, 0.000999, 0, 
0.001034, 0.001, 0, 0.001001, 0, 0.001, 
0.001, 0.000999, 0, 0.000999, 0, 0, 
0.000997, 0.001003, 0.001, 0.001, 0.000999, 0, 
0, 0.001, 0.000991, 0.000998, 0.001, 0.000999, 
0.001998, 0.000999, 0.000999, 0.001, 0.000994, 0, 
0.002, 0.001999, 0.000997, 0.002, 0.002, 0, 
0.004999, 0.002998, 0.002991, 0.003967, 0.003975, 0, 
0.009999, 0.007968, 0.006999, 0.008, 0.009, 0, 
0.022997, 0.01801, 0.017992, 0.019973, 0.019975, 0, 
0.049033, 0.038968, 0.039999, 0.043, 0.046002, 0, 
0.115047, 0.095998, 0.095006, 0.104991, 0.108, 0, 
0.283032, 0.269006, 0.27, 0.295965, 0.304967, 0, 
0.71464, 0.713086, 0.734984, 0.760616, 0.800973, 0, 
1.756602, 1.779141, 1.727001, 1.788004, 1.830032, 0, 
4.144973, 4.135807, 4.206523, 4.364912, 4.479492, 0, 
